Period;EventID;EventDate;Seq;MaxExp;Loss
3372;3171518;04/02/2013 00:22;1;30493.730986800787;1.8820059969540947E10
3372;3199977;03/02/2013 04:37;1;20599.767287977655;1.860373744115542E10
14150;3200327;24/03/2013 18:56;1;19175.002536855052;1.0251755056818181E11
25144;3200044;26/08/2013 14:36;1;18346.855721378703;5.49206860816383E10
14150;3200044;04/12/2013 01:21;1;17733.791202702716;1.0023938277777777E11
4047;3200202;13/08/2013 23:33;1;16646.985592070112;5.441392791880077E10
9761;3183117;25/04/2013 23:53;1;15700.030886016471;5.0302239427357025E10
14150;3199985;26/05/2013 19:44;1;15097.95696469051;9.700585430107527E10
13020;3200097;22/06/2013 12:51;1;13938.08041000576;5.0718242840553444E10
4047;3200020;03/09/2013 15:07;1;13318.596870554773;5.212281516432494E10
14150;3181654;26/04/2013 13:13;1;12822.095270270285;9.397442135416667E10
13635;3200215;31/07/2013 13:04;1;12337.287057676247;4.497230427161188E10
3372;3200212;23/06/2013 21:39;1;11873.442277992288;1.6515562830413483E10
3372;3200325;22/11/2013 08:44;1;11405.343988124498;1.634873896343961E10
13020;3200062;05/10/2013 04:57;1;10750.90216216217;4.767514827012025E10
14150;3200701;18/07/2013 18:41;1;10061.562871822327;8.932222227722774E10
14150;3200377;23/08/2013 23:19;1;9648.90838950716;8.844651421568628E10
13020;3193059;22/01/2013 10:04;1;9184.737946601948;4.628655171856334E10
14150;3200779;26/06/2013 20:07;1;8608.157108108117;8.674561971153847E10
9761;3200244;10/06/2013 16:18;1;7980.276640926649;4.40743431173033E10
25144;3200885;07/05/2013 10:34;1;7394.344696583382;4.611265152137555E10
13020;3182997;23/12/2013 11:13;1;7044.342988886088;4.4556213336560974E10
25144;3200074;13/10/2013 16:20;1;5887.946726726733;4.525871353023897E10
14150;3200297;01/08/2013 20:40;1;5290.638136498888;8.27664628440367E10
13020;3200491;01/06/2013 03:28;1;5017.97042506143;4.334104388192749E10
25144;3200923;15/05/2013 14:30;1;4683.148555149746;4.403550505644872E10
4047;3177817;22/02/2013 18:35;1;4329.764316602321;4.421131643402563E10
25144;3200427;12/10/2013 04:24;1;3960.6210416168415;4.325611558642308E10
25144;3200394;23/10/2013 12:56;1;3259.244749644385;4.287667597601586E10
13020;3187473;29/03/2013 18:29;1;2977.7132784958903;4.145665066966978E10
25144;3200030;04/09/2013 23:22;1;2195.09126700839;4.2137422941946625E10
13635;3200057;14/06/2013 03:47;1;1924.7093063063085;3.728473089184916E10
13020;3200116;23/08/2013 16:15;1;1670.7090556573537;4.040266802552563E10
14150;3200219;25/07/2013 19:44;1;1516.245391778334;7.581129789915967E10
25144;3200379;06/06/2013 10:28;1;1319.8663513513532;4.073284217721507E10
14150;3200840;04/11/2013 08:26;1;980.9807404958685;7.455821859504132E10
25144;3200910;05/07/2013 00:09;1;880.0211431103244;4.006509066611318E10
14150;3184413;06/01/2013 20:56;1;671.0602805537249;7.334588983739838E10
3422;3200315;25/04/2013 08:24;1;594.7419473408903;3.9642075126936134E10
14150;3200330;02/09/2013 11:06;1;509.586567567568;7.21723556E10
13635;3185875;25/12/2013 06:49;1;376.54613230373235;3.4621535828145645E10
13635;3176293;02/02/2013 10:54;1;272.9676109810602;3.4348925309813793E10
25144;3199961;20/06/2013 01:23;1;186.5536824324326;3.818703954113913E10
4047;3191556;20/03/2013 08:22;1;148.88182878692635;3.83850189194641E10
14150;3198999;09/06/2013 00:52;1;107.30824615384654;6.939649576923077E10
13020;3198990;29/07/2013 01:03;1;68.33684031359604;3.639324295429026E10
4047;3199950;15/09/2013 20:30;1;38.92665847665873;3.751263212583993E10
9761;3193885;23/07/2013 16:19;1;10.185945783377594;3.479553403997629E10
4047;3198997;19/07/2013 21:08;1;44730.21189850751;3.695274209411097E10
3372;3193564;21/09/2013 14:51;1;42841.6223555556;1.1989075239855713E10
4047;3192037;15/11/2013 23:02;1;39926.276117647096;3.640931941625639E10
3372;3200825;16/07/2013 18:43;1;38561.215620437986;1.1814052243653439E10
3372;3200832;29/07/2013 02:03;1;34053.195773913074;1.1728443169424067E10
14150;3192034;25/08/2013 18:44;1;32919.356572661905;6.490319748201439E10
9761;3200814;20/09/2013 11:34;1;31271.255828571462;3.3055757337977474E10
13635;3193549;30/07/2013 20:07;1;29768.524127659606;3.093839371876845E10
13635;3194547;23/01/2013 00:20;1;28862.615645070447;3.0720517706664448E10
3372;3200826;26/07/2013 03:03;1;28078.631857342676;1.131835774391973E10
13635;3200819;28/06/2013 09:57;1;26551.91293333336;3.029384384962744E10
3372;3194877;04/07/2013 01:41;1;24465.107296551752;1.116224246469325E10
13635;3200810;24/06/2013 01:37;1;23496.760586301385;2.9878859687303776E10
3422;3200795;20/07/2013 12:49;1;21910.69618775513;3.3439573576463135E10
13635;3198963;29/12/2013 07:39;1;21230.785200000013;2.947509131315102E10
25144;3194879;22/05/2013 19:07;1;20371.392684563772;3.2804973565542336E10
3372;3192051;19/08/2013 13:50;1;19449.794800000014;1.0790167715870142E10
25144;3183998;27/11/2013 10:07;1;18637.342307284787;3.237047060440933E10
25144;3200824;28/09/2013 03:19;1;16705.602126315807;3.2157506982011898E10
14150;3197984;10/08/2013 18:24;1;16123.033388235304;5.896434281045751E10
3422;3198958;09/09/2013 05:24;1;15677.546696103915;3.1919592959351173E10
3372;3171966;01/05/2013 16:58;1;13954.80027096775;1.044209778955175E10
25144;3200804;07/09/2013 03:57;1;13011.512953846162;3.1332955520934666E10
3372;3200804;12/09/2013 07:24;1;12634.829602547783;1.0309077435544722E10
13635;3200784;13/02/2013 05:55;1;11921.02376202533;2.7609579204723747E10
14150;3178665;03/04/2013 02:38;1;11395.758332075487;5.6739273270440254E10
25144;3200775;06/07/2013 14:23;1;10405.83480000001;3.05496316329113E10
