LOSSFILE	
FileFormatVersion	YLT_1.1
LossTableHeaderFormat	Manual Import
LossTableHeaderProducer	MAT-R
LossTableType	YLT
LossTableBasis	AM
CreateDate	2018-08-07
Model	Elements
ModelProvider	IF
ModelSystem	Elements
ModelSystemVersion	10.0.0.0
ModelSystemInstance	PRD
ResultsDatabaseName	IF_RES_2018_THFL
User	U000886
Simulation_Set_Id	7511
Peril	FL
Region	Thailand
Model_Version	10.0.0.0
ModelModule	DLM
Geo_Code	THA
SourceResultsReference	42
ResultsName	FPG_QS_SPL - FPG_QS_SPL
ResultsDescription	NA
Run_Date	2018-06-27
Run_Date	2018-06-27
Currency	THB
FinPerspective	GU
Years	100000
SimulationPeriodBasis	1
OccurrenceBasis	PerEvent
OEP2	0
OEP5	8169385
OEP10	131946097
OEP25	565116148
OEP50	1855095265
OEP100	2171342391
OEP200	2356876878
OEP250	2391373373
OEP500	2520814472
OEP1000	2683327326
OEP5000	2969410750
OEP10000	3104076686
AAL	86965188.90267
STD	352523451.318785
COV	4.05361565664306
#[HEADER-END]
EventID	Year	MM-DD(n)	Value
751100049	52791	06-01(0)	450841209
751100049	78625	07-22(0)	450841209
751100049	89451	09-23(0)	450841209
751100050	24188	07-23(0)	42029988
751100050	42900	09-02(0)	42029988
751100050	47307	09-15(0)	42029988
751100050	70018	08-28(0)	42029988
751100050	98340	06-04(0)	42029988
751100051	8790	07-14(0)	51932340
751100051	24962	08-15(0)	51932340
751100051	39305	09-09(0)	51932340
751100051	51072	06-25(0)	51932340
751100051	64955	05-20(0)	51932340
751100051	84087	05-31(0)	51932340
751100052	39989	07-24(0)	159780086
751100052	61619	07-06(0)	159780086
751100052	64545	06-05(0)	159780086
751100052	70160	05-29(0)	159780086
751100052	72722	07-22(0)	159780086
751100054	2161	09-11(0)	2451671
751100054	6485	06-23(0)	2451671
751100054	17365	08-23(0)	2451671
751100054	40551	07-28(0)	2451671
751100054	59562	07-17(0)	2451671
751100057	805	09-22(0)	253300938
751100057	7906	07-16(0)	253300938
751100057	91222	08-01(0)	253300938
751100058	55533	06-12(0)	1881058081
751100058	64315	05-16(0)	1881058081
751100058	92393	09-11(0)	1881058081
751100060	14375	05-17(0)	169243667
751100060	18538	05-25(0)	169243667
751100060	48151	07-04(0)	169243667
751100060	80603	09-15(0)	169243667
751100060	85977	09-11(0)	169243667
751100063	21057	08-01(0)	7057187
751100063	23080	07-20(0)	7057187
751100063	61346	07-31(0)	7057187
751100063	86630	08-23(0)	7057187
751100063	88076	09-12(0)	7057187
